threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.09014697116561009,27280646.638737895,1162.1643792595166,7896,15578,2649,12929,7399,497,0.17004750288868917,0.8420216147488875,0.2829523606067079
0.09115086718400908,27148512.075978,1156.535404105734,8013,15461,2638,12823,7505,508,0.17062285751245068,0.8385251112523839,0.28354920191325844
0.09207465661859457,27054242.561995625,1152.519492289155,8131,15343,2622,12721,7607,524,0.17089226357296486,0.8334392879847425,0.2836281031964952
0.09297740493974388,26936128.03789271,1147.4877753213218,8249,15225,2609,12616,7712,537,0.17136288998357962,0.8293070565797839,0.28403461978117683
0.09400256777839067,26818013.5137898,1142.456058353489,8367,15107,2596,12511,7817,550,0.17184086847156946,0.8251748251748252,0.2844463923738564
0.09472081014898695,26644260.632738948,1135.0541293660624,8485,14989,2590,12399,7929,556,0.1727933818133298,0.8232676414494596,0.2856355114419631
0.0955796094848213,26494352.761808645,1128.6680055298903,8603,14871,2581,12290,8038,565,0.1735592764440858,0.8204068658614113,0.2865071876561026
0.09646921466415775,26378114.872462444,1123.7162338102771,8720,14754,2568,12186,8142,578,0.17405449369662465,0.8162746344564527,0.28692737430167603
0.09730984399357584,26204361.991411593,1116.3143048228505,8838,14636,2562,12074,8254,584,0.17504782727521181,0.8143674507310871,0.2881565628163311
0.09810523963390631,26070350.793894984,1110.605384420848,8956,14518,2551,11967,8361,595,0.17571290811406529,0.8108709472345836,0.28883605072463764
0.09899423513358147,25944287.933085226,1105.2350657359302,9074,14400,2539,11861,8467,607,0.17631944444444445,0.8070565797838525,0.2894106918955887
0.09964871588835031,25850018.41910285,1101.2191539193514,9192,14282,2523,11759,8569,623,0.1766559305419409,0.8019707565162111,0.2895340830846913
0.1004569579070018,25739852.231706787,1096.526038668603,9310,14164,2509,11655,8673,637,0.1771392262072861,0.7975206611570248,0.2898902368573079
0.10145771624623455,25655407.68918797,1092.9286738173284,9427,14047,2492,11555,8773,654,0.177404427991742,0.7921169739351558,0.2898854184842668
0.10241152893722537,25529344.82837821,1087.5583551324107,9545,13929,2480,11449,8879,666,0.17804580371885995,0.7883026064844246,0.2904831625183016
0.10335657163856521,25443023.651102684,1083.8810450329165,9663,13811,2463,11348,8980,683,0.17833610889870394,0.7828989192625556,0.290499498732087
0.10412447090105476,25364650.810534008,1080.5423366505072,9781,13693,2445,11248,9080,701,0.17855838749726138,0.777177368086459,0.2903972920007126
0.10510519482960558,25238587.949724246,1075.1720179655895,9899,13575,2433,11142,9186,713,0.17922651933701658,0.7733630006357279,0.2910113031517254
0.10595665161824439,25096628.41550079,1069.124495846502,10017,13457,2423,11034,9294,723,0.18005498996804636,0.770184361093452,0.2918749623562007
0.10678404464304714,24988338.862861432,1064.5113258439735,10134,13340,2409,10931,9397,737,0.1805847076461769,0.7657342657342657,0.2922479679728254
0.10770532188804269,24854327.665344823,1058.802405441971,10252,13222,2398,10824,9504,748,0.18136439267886856,0.7622377622377622,0.29301075268817206
0.10850917474631444,24744161.477948755,1054.1092901912225,10370,13104,2384,10720,9608,762,0.18192918192918192,0.757787666878576,0.29341538461538463
0.10952868650414654,24673736.974086925,1051.1091835258978,10488,12986,2365,10621,9707,781,0.18211920529801323,0.7517482517482518,0.293206050086784
0.11038777513213545,24579467.460104555,1047.093271709319,10606,12868,2349,10519,9809,797,0.18254585017096675,0.7466624284806103,0.29336830273510683
0.11106780928084677,24437507.925881095,1041.0457495902315,10724,12750,2339,10411,9917,807,0.18345098039215688,0.7434837889383344,0.2942878711625566
0.11192833655015468,24313321.699828044,1035.7553761535335,10841,12633,2327,10306,10022,819,0.184200110820866,0.7396694214876033,0.2949489828252741
0.11269044856981693,24163413.82889774,1029.3692523173613,10959,12515,2318,10197,10131,828,0.18521773871354374,0.736808645899555,0.2960219653917374
0.11353385863380668,24029402.63138113,1023.6603319153587,11077,12397,2307,10090,10238,839,0.18609340969589416,0.7333121424030515,0.2968538892105771
0.11442937640456365,23935133.11739876,1019.64442009878,11195,12279,2291,9988,10340,855,0.18657871162146755,0.72822631913541,0.2970502431118314
0.11537908990482412,23793173.5831753,1013.5968979796925,11313,12161,2281,9880,10448,865,0.1875668119398076,0.7250476795931341,0.2980335794081139
0.11627565068370961,23643265.712245,1007.2107741435204,11431,12043,2272,9771,10557,874,0.1886573113011708,0.7221869040050858,0.29916386858911054
0.11708693548597149,23517202.851435237,1001.8404554586026,11549,11925,2260,9665,10663,886,0.18951781970649895,0.7183725365543547,0.29991374162298456
0.11800857107467429,23400964.962089032,996.8886837389891,11666,11808,2247,9561,10767,899,0.19029471544715448,0.7142403051493961,0.30052159957202085
0.11878274681110414,23314643.78481351,993.2113736394952,11784,11690,2230,9460,10868,916,0.19076133447390933,0.7088366179275271,0.3006201132380696
0.11959611546112062,23212425.934124287,988.8568601058314,11902,11572,2215,9357,10971,931,0.19141030072589008,0.7040686586141132,0.30099198260633236
0.12051349038220643,23110208.083435066,984.5023465721678,12020,11454,2200,9254,11074,946,0.19207263837960536,0.6993006993006993,0.30136986301369867
0.12145961062531328,23023886.906159543,980.8250364726737,12138,11336,2183,9153,11175,963,0.19257233592095976,0.6938970120788303,0.30147769645076644
0.12253246280810796,22873979.03522924,974.4389126365016,12256,11218,2174,9044,11284,972,0.1937956855054377,0.6910362364907819,0.3027011974380395
0.12326633318081207,22813379.502830967,971.8573529364816,12373,11101,2154,8947,11381,992,0.19403657328168633,0.6846789574062301,0.30237944830490626
0.1242278133283804,22679368.30531436,966.148432534479,12491,10983,2143,8840,11488,1003,0.19511973049257944,0.6811824539097266,0.30334772453818387
0.1250770737769818,22593047.128038835,962.4711224349849,12609,10865,2126,8739,11589,1020,0.19567418315692592,0.6757787666878576,0.30347584041110554
0.12610158921012926,22506725.950763308,958.7938123354907,12727,10747,2109,8638,11690,1037,0.1962408113892249,0.6703750794659885,0.30360613258475494
0.1271654239529256,22380663.089953545,953.4234936505728,12845,10629,2097,8532,11796,1049,0.19729043183742592,0.6665607120152575,0.304464609800363
0.12818243314754738,22302290.24938487,950.0847852681635,12963,10511,2079,8432,11896,1067,0.19779278850727808,0.6608391608391608,0.3044592516658124
0.12922234654219006,22233742.38027975,947.1646238510586,13080,10394,2060,8334,11994,1086,0.19819126419087935,0.6547997457088366,0.30428360413589367
0.13017543206730128,22139472.86629738,943.1487120344798,13198,10276,2044,8232,12096,1102,0.1989100817438692,0.6497139224411952,0.304574579049322
0.13129171304655152,21997513.33207392,937.1011899153923,13316,10158,2034,8124,12204,1112,0.2002362669816893,0.6465352828989193,0.3057726999398677
0.13227651061524298,21863502.134557314,931.3922695133899,13434,10040,2023,8017,12311,1123,0.20149402390438248,0.6430387794024157,0.3068405885029577
0.133130398274637,21816922.640816025,929.4079679993195,13552,9922,2001,7921,12407,1145,0.20167304978834913,0.6360457724094087,0.30624426078971534
0.13416401969973898,21730601.4635405,925.7306578998252,13670,9804,1984,7820,12508,1162,0.20236638106895144,0.6306420851875397,0.3064092664092664
